Event|Day|Date|Time|Location|Speakers|Moderator|ModeratorOrg|URL
Career roundtable|Sunday|June 19|10:15 a.m.|Galerie 4-5| Sarah Cohen, Jennifer Forsyth, Josh Meyer, Steven Rich, Jill Riepenhoff, Stephen Stock, Mark Horvit|Mark Horvit|IRE/NICAR|http://www.ire.org/events-and-training/event/2199/2671/
NICAR Commons: What to do about talented but troublesome reporters|Thursday|June 16|5 p.m.|Preservation Hall|Jennifer Forsyth|Jennifer Forsyth|The Wall Street Journal|http://www.ire.org/events-and-training/event/2199/2774/
Rolling your own data|Friday|June 17|10:15 a.m.|Studio 9-10| Robert Gebeloff, Sarah Ryley, Jennifer LaFleur|No moderator listed||http://www.ire.org/events-and-training/event/2199/2551/
NICAR Commons: Trolls, predatory lending and resegregation: Exploring Livingston Award winning stories with the Knight Foundation|Friday|June 17|3:45 p.m.|Preservation Hall|Jennifer Preston|Jennifer Preston|Knight Foundation|http://www.ire.org/events-and-training/event/2199/2787/
Protecting your sources: Using encryption and other tech tools to keep your work safer|Sunday|June 19|9 a.m.|Galerie 4-5|Jennifer Valentino-DeVries|No moderator listed||http://www.ire.org/events-and-training/event/2199/2763/
Grilling Jerry Mitchell for breakfast (Sponsored by Knight Foundation)|Sunday|June 19|10:15 a.m.|Galerie 1| Jerry Mitchell, Robert Cribb|Robert Cribb|Toronto Star|http://www.ire.org/events-and-training/event/2199/2730/
NICAR Commons: How to develop your own hyper personalized organizational system|Thursday|June 16|2:30 p.m.|Preservation Hall|Jesse Patel|Jesse Patel|WorkFlowy|http://www.ire.org/events-and-training/event/2199/2620/
Show & Tell *Saturday - #3 (Sponsored by Napoli Management Group)|Saturday|June 18|11:30 a.m.|Galerie 2|Jim Strickland|Jim Strickland|WSB-Atlanta|http://www.ire.org/events-and-training/event/2199/2725/
Sports investigations|Saturday|June 18|3 p.m.|Studio 9-10| Shaun Assael, John Diedrich, Steve Riley, Kevin Merida|Kevin Merida|ESPN The Undefeated|http://www.ire.org/events-and-training/event/2199/2662/
Do criminal and municipal courts treat defendants fairly? (Sponsored by Criminal Justice Journalists)|Thursday|June 16|11:30 a.m.|Studio 9-10| Kendall Taggart, Ted Gest, Judge Arthur L. Hunter Jr., John Simerman|No moderator listed||http://www.ire.org/events-and-training/event/2199/2546/
Security: Bulletproofing the digital newsroom|Friday|June 17|10:15 a.m.|Salon F-H| Jorge Luis Sierra, Mike Tigas|No moderator listed||http://www.ire.org/events-and-training/event/2199/2599/
Turning your investigation into: A book|Saturday|June 18|9 a.m.|Studio 9-10| Ronnie Greene, Nancy Stancill, Mike Stanton, Josh Meyer|Josh Meyer|NBC News|http://www.ire.org/events-and-training/event/2199/2659/
Mastering the investigative interview: Questioning the way you take on your targets|Friday|June 17|2:30 p.m.|Galerie 6|Julian Sher|No moderator listed||http://www.ire.org/events-and-training/event/2199/2609/
Looking out for your audience: From scams to ripoffs to wrongdoing|Saturday|June 18|10:15 a.m.|Salon E| Lee Rood, Raquel Rutledge, Julie Watts, Mc Nelly Torres|Mc Nelly Torres|NBC6 Miami|http://www.ire.org/events-and-training/event/2199/2567/
Investigations with DocumentCloud|Friday|June 17|11:30 a.m.|Salon C| Ted Han, Justin Reese, Lauren Grandestaff|No moderator listed||http://www.ire.org/events-and-training/event/2199/2695/
The fight for (information) freedom (Sponsored by Press Club of New Orleans)|Thursday|June 16|2:30 p.m.|Galerie 4-5| Lee Zurik, Karen Gadbois, Katie Moore, Robert McClendon, Scott Sternberg|No moderator listed||http://www.ire.org/events-and-training/event/2199/2565/
Educators: Sometimes it hurts - covering traumatic events (Sponsored by Knight Foundation)|Saturday|June 18|11:30 a.m.|Galerie 1|Katherine Reed|No moderator listed||http://www.ire.org/events-and-training/event/2199/2694/
Finding the story: Digging up secrets and story ideas in bankruptcy court records (Sponsored by Bloomberg)|Saturday|June 18|10:15 a.m.|Salon B|Katy Stech|No moderator listed||http://www.ire.org/events-and-training/event/2199/2646/
Show & Tell *Thursday - #4 (Sponsored by Napoli Management Group)|Thursday|June 16|3:45 p.m.|Galerie 2|Keith Esparros|Keith Esparros| CBS - WWL/New Orleans|http://www.ire.org/events-and-training/event/2199/2716/
Constructing the narrative: An unbelievable story of rape|Friday|June 17|2:30 p.m.|Salon F-H| Ken Armstrong, T. Christian Miller|No moderator listed||http://www.ire.org/events-and-training/event/2199/2570/
Management: Making newsroom partnerships work|Friday|June 17|2:30 p.m.|Salon D| Ken Foskett, Lorie Hearn, Mark Greenblatt, Kirsten Danis|Mark Greenblatt|Scripps Washington Bureau|http://www.ire.org/events-and-training/event/2199/2665/
Show & Tell *Thursday - #1 (Sponsored by Napoli Management Group)|Thursday|June 16|9 a.m.|Galerie 2|Kevin Keeshan|Kevin Keeshan|NBC Owned Television Stations|http://www.ire.org/events-and-training/event/2199/2713/
Investigating realities: Approaches to  reporting, production, and development with VR|Thursday|June 16|2:30 p.m.|Salon F-H| Lakshmi Sarah, Robert Hernandez, Trey Bundy, Stephan Gensch|Robert Hernandez|University of Southern California - Annenberg|http://www.ire.org/events-and-training/event/2199/2727/
Broadcast showcase: The changing network landscape|Thursday|June 16|2:30 p.m.|Galerie 3| Scott Zamost, Lea Thompson, Len Tepper, Rhonda Schwartz|Lea Thompson|formerly NBC News|http://www.ire.org/events-and-training/event/2199/2568/
Show & Tell *Saturday - #1 (Sponsored by Napoli Management Group)|Saturday|June 18|9 a.m.|Galerie 2|Lea Thompson|Lea Thompson||http://www.ire.org/events-and-training/event/2199/2723/
Broadcast: Rolling investigations|Friday|June 17|3:45 p.m.|Galerie 3| Tisha Thompson, Phil Williams, Lee Zurik|No moderator listed||http://www.ire.org/events-and-training/event/2199/2584/
NICAR Commons: How to enter (and win) a duPont Award|Thursday|June 16|10:15 a.m.|Preservation Hall|Lisa Cohen|Lisa R. Cohen|Columbia Journalism School|http://www.ire.org/events-and-training/event/2199/2786/
Finding the story: Bridges|Sunday|June 19|9 a.m.|Salon A|Liz Lucas|No moderator listed||http://www.ire.org/events-and-training/event/2199/2708/
Quick and easy analysis without importing: csvkit!|Friday|June 17|10:15 a.m.|Salon C|Liz Lucas|No moderator listed||http://www.ire.org/events-and-training/event/2199/2706/
NICAR Commons: Civility and freedom of speech|Friday|June 17|2:30 p.m.|Preservation Hall|Lynn Walsh|Lynn Walsh|Society of Professional Journalists|http://www.ire.org/events-and-training/event/2199/2778/
What costs nothing but isn't free? The battle over zero-rating (Sponsored by Media Democracy Fund)|Saturday|June 18|11:30 a.m.|Salon D| Malavika Jayaram, Sarah Morris|No moderator listed||http://www.ire.org/events-and-training/event/2199/2668/
Management: Creating a watchdog newsroom|Saturday|June 18|3 p.m.|Salon F-H| Manny Garcia, Ray Rivera, Steve Suo, Mark Rochester|Mark Rochester|The Herald|http://www.ire.org/events-and-training/event/2199/2606/
How graph databases can help uncover wrongdoing (Sponsored by Knight Foundation)|Friday|June 17|3:45 p.m.|Galerie 1| Mar Cabra, William Lyon|No moderator listed||http://www.ire.org/events-and-training/event/2199/2588/
Finding the story: Water|Friday|June 17|11:30 a.m.|Salon A|Mark Nichols|No moderator listed||http://www.ire.org/events-and-training/event/2199/2633/
Investigating supply chains (Sponsored by Knight Foundation)|Thursday|June 16|2:30 p.m.|Galerie 1| Peter Klein, Martha Mendoza, Richard Marosi|No moderator listed||http://www.ire.org/events-and-training/event/2199/2689/
Seafood from Slaves: The story behind an IRE Medal winner|Friday|June 17|11:30 a.m.|Salon D| Mary Rajkumar, Martha Mendoza|No moderator listed||http://www.ire.org/events-and-training/event/2199/2591/
Broadcast management: Good pitching and good coaching|Saturday|June 18|11:30 a.m.|Galerie 3| Matt Goldberg, Nicole Vap, Mikel Schaefer|No moderator listed||http://www.ire.org/events-and-training/event/2199/2624/
